Pes_atur,Nom_Barri,Codi_Barri,Poblacio_16_64_anys,Mes
6,la Maternitat i Sant Ramon,20,14547,2
2.9,Pedralbes,21,7025,2
6.3,les Corts,19,28471,3
6.2,la Maternitat i Sant Ramon,20,14547,3
3,Pedralbes,21,7025,3
7.2,les Corts,19,28471,4
7.1,la Maternitat i Sant Ramon,20,14547,4
3.3,Pedralbes,21,7025,4
7.6,les Corts,19,28471,5
7.5,la Maternitat i Sant Ramon,20,14547,5
3.5,Pedralbes,21,7025,5
7.7,les Corts,19,28471,6
7.6,la Maternitat i Sant Ramon,20,14547,6
3.5,Pedralbes,21,7025,6
7.5,les Corts,19,28471,7
7.5,la Maternitat i Sant Ramon,20,14547,7
3.6,Pedralbes,21,7025,7
7.7,les Corts,19,28471,8
7.7,la Maternitat i Sant Ramon,20,14547,8
3.7,Pedralbes,21,7025,8
7.5,les Corts,19,28471,9
7.5,la Maternitat i Sant Ramon,20,14547,9
3.6,Pedralbes,21,7025,9
7.5,les Corts,19,28471,10
7.5,la Maternitat i Sant Ramon,20,14547,10
3.5,Pedralbes,21,7025,10
7.5,les Corts,19,28471,11
7.4,la Maternitat i Sant Ramon,20,14547,11
3.6,Pedralbes,21,7025,11
7.8,Vilapicina i la Torre Llobeta,44,16192,1
7.5,Porta,45,16782,1
7.6,el Turó de la Peira,46,10172,1
7.7,Can Peguera,47,1406,1
9.9,la Guineueta,48,8971,1
10.4,Canyelles,49,4135,1
8.7,les Roquetes,50,10739,1
8.8,Verdun,51,8117,1
8.5,la Prosperitat,52,16606,1
12.5,la Trinitat Nova,53,5082,1
8.8,Torre Baró,54,1996,1
13,Ciutat Meridiana,55,7070,1
11.9,Vallbona,56,893,1
8,Vilapicina i la Torre Llobeta,44,16192,2
7.5,Porta,45,16782,2
7.9,el Turó de la Peira,46,10172,2
8,Can Peguera,47,1406,2
10,la Guineueta,48,8971,2
10.6,Canyelles,49,4135,2
8.9,les Roquetes,50,10739,2
9,Verdun,51,8117,2
8.5,la Prosperitat,52,16606,2
12.5,la Trinitat Nova,53,5082,2
8.8,Torre Baró,54,1996,2
13,Ciutat Meridiana,55,7070,2
12,Vallbona,56,893,2
8.2,Vilapicina i la Torre Llobeta,44,16192,3
7.8,Porta,45,16782,3
8.1,el Turó de la Peira,46,10172,3
8.2,Can Peguera,47,1406,3
10.4,la Guineueta,48,8971,3
11,Canyelles,49,4135,3
9.2,les Roquetes,50,10739,3
9.3,Verdun,51,8117,3
8.9,la Prosperitat,52,16606,3
13.1,la Trinitat Nova,53,5082,3
9.2,Torre Baró,54,1996,3
13.6,Ciutat Meridiana,55,7070,3
12.5,Vallbona,56,893,3
9.3,Vilapicina i la Torre Llobeta,44,16192,4
8.9,Porta,45,16782,4
9.2,el Turó de la Peira,46,10172,4
9.2,Can Peguera,47,1406,4
11.6,la Guineueta,48,8971,4
12.3,Canyelles,49,4135,4
10.3,les Roquetes,50,10739,4
10.4,Verdun,51,8117,4
10.1,la Prosperitat,52,16606,4
14.4,la Trinitat Nova,53,5082,4
10.1,Torre Baró,54,1996,4
14.9,Ciutat Meridiana,55,7070,4
13.7,Vallbona,56,893,4
9.8,Vilapicina i la Torre Llobeta,44,16192,5
9.2,Porta,45,16782,5
9.7,el Turó de la Peira,46,10172,5
9.7,Can Peguera,47,1406,5
12.1,la Guineueta,48,8971,5
12.8,Canyelles,49,4135,5
10.7,les Roquetes,50,10739,5
10.9,Verdun,51,8117,5
10.5,la Prosperitat,52,16606,5
15.2,la Trinitat Nova,53,5082,5
10.7,Torre Baró,54,1996,5
15.8,Ciutat Meridiana,55,7070,5
14.5,Vallbona,56,893,5
10.1,Vilapicina i la Torre Llobeta,44,16192,6
9.5,Porta,45,16782,6
10,el Turó de la Peira,46,10172,6
10.1,Can Peguera,47,1406,6
12.6,la Guineueta,48,8971,6
13.4,Canyelles,49,4135,6
11.2,les Roquetes,50,10739,6
11.3,Verdun,51,8117,6
10.8,la Prosperitat,52,16606,6
15.8,la Trinitat Nova,53,5082,6
11.1,Torre Baró,54,1996,6
16.4,Ciutat Meridiana,55,7070,6
15.1,Vallbona,56,893,6
9.8,Vilapicina i la Torre Llobeta,44,16192,7
9.3,Porta,45,16782,7
9.7,el Turó de la Peira,46,10172,7
9.7,Can Peguera,47,1406,7
12.2,la Guineueta,48,8971,7
12.9,Canyelles,49,4135,7
10.8,les Roquetes,50,10739,7
10.9,Verdun,51,8117,7
10.6,la Prosperitat,52,16606,7
15.4,la Trinitat Nova,53,5082,7
10.9,Torre Baró,54,1996,7
16,Ciutat Meridiana,55,7070,7
14.7,Vallbona,56,893,7
10,Vilapicina i la Torre Llobeta,44,16192,8
9.5,Porta,45,16782,8
9.8,el Turó de la Peira,46,10172,8
9.8,Can Peguera,47,1406,8
12.2,la Guineueta,48,8971,8
12.9,Canyelles,49,4135,8
10.8,les Roquetes,50,10739,8
11,Verdun,51,8117,8
10.7,la Prosperitat,52,16606,8
15.8,la Trinitat Nova,53,5082,8
11.1,Torre Baró,54,1996,8
16.4,Ciutat Meridiana,55,7070,8
15.1,Vallbona,56,893,8
9.8,Vilapicina i la Torre Llobeta,44,16192,9
9.3,Porta,45,16782,9
9.7,el Turó de la Peira,46,10172,9
9.7,Can Peguera,47,1406,9
12.1,la Guineueta,48,8971,9
12.8,Canyelles,49,4135,9
10.7,les Roquetes,50,10739,9
10.9,Verdun,51,8117,9
10.5,la Prosperitat,52,16606,9
15.5,la Trinitat Nova,53,5082,9
10.9,Torre Baró,54,1996,9
16.1,Ciutat Meridiana,55,7070,9
14.8,Vallbona,56,893,9
10.1,Vilapicina i la Torre Llobeta,44,16192,10
9.5,Porta,45,16782,10
10,el Turó de la Peira,46,10172,10
10,Can Peguera,47,1406,10
12.4,la Guineueta,48,8971,10
13.2,Canyelles,49,4135,10
11,les Roquetes,50,10739,10
11.1,Verdun,51,8117,10
