,Numero_expedient,Dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet
139,2019S005841    ,Dm,2019,7,Juliol,23,12,Matí,Veh. mobilitat personal amb motor,M-365,XIAOMI,Altres,Desconegut,Desconegut
140,2019S005813    ,Dl,2019,7,Juliol,22,18,Tarda,Furgoneta,TRANSIT CONNECT,FORD,Blanc,B,27
141,2019S005813    ,Dl,2019,7,Juliol,22,18,Tarda,Motocicleta,TL 125,SCOMADI,Blau,B,11
142,2019S005583    ,Dl,2019,7,Juliol,15,3,Nit,Turisme,PRIUS ADVANCE,TOYOTA,Desconegut,B,2
143,2019S006346    ,Ds,2019,8,Agost,10,1,Nit,Turisme,TOYOTA PRIUS,TOYOTA,Negre/Groc,BTP,29
144,2019S008258    ,Dv,2019,10,Octubre,25,9,Matí,Motocicleta,LIBERTY 125 RST,PIAGGIO,Desconegut,A,37
145,2019S009833    ,Dv,2019,12,Desembre,20,23,Nit,Turisme,FIESTA,FORD,Negre,Desconegut,Desconegut
146,2019S009833    ,Dv,2019,12,Desembre,20,23,Nit,Turisme,MEGANE,RENAULT,Blanc,B,1
147,2019S000972    ,Dc,2019,2,Febrer,6,14,Tarda,Veh. mobilitat personal amb motor,Desconegut,Desconegut,Desconegut,Sense permís,Desconegut
148,2019S002487    ,Ds,2019,3,Març,30,19,Tarda,Motocicleta,PEOPLE S 125,KYMCO,Desconegut,B,12
149,2019S002487    ,Ds,2019,3,Març,30,19,Tarda,Turisme,TOYOTA PRIUS,TOYOTA,Desconegut,B,12
150,2019S007541    ,Ds,2019,9,Setembre,28,18,Tarda,"Camió rígid <= 3,5 tones",FM,VOLVO,Blanc,C1,20
151,2019S008460    ,Ds,2019,11,Novembre,2,17,Tarda,Bicicleta,Desconegut,Desconegut,Taronja,Desconegut,Desconegut
152,2019S008460    ,Ds,2019,11,Novembre,2,17,Tarda,Veh. mobilitat personal amb motor,XS,JOYOR,Negre,Desconegut,Desconegut
153,2019S007268    ,Dj,2019,9,Setembre,19,21,Tarda,Motocicleta,LEAD,HONDA,Vermell,Desconegut,Desconegut
154,2019S007268    ,Dj,2019,9,Setembre,19,21,Tarda,Motocicleta,SH 150,HONDA,Platejat,A,31
155,2019S001163    ,Dc,2019,2,Febrer,13,16,Tarda,Motocicleta,SH 125,HONDA,Gris,B,26
156,2019S001163    ,Dc,2019,2,Febrer,13,16,Tarda,Turisme,E 200,MERCEDES,Gris,B,19
157,2019S005890    ,Dc,2019,7,Juliol,24,17,Tarda,Motocicleta,F 650 GS,BMW,Platejat,A,37
158,2019S005890    ,Dc,2019,7,Juliol,24,17,Tarda,Motocicleta,S 02,SCUTUM,Vermell,B,4
