id;streetName;streetNumber
74;Josep Tarradellas;133
75;Josep Tarradellas;58
76;Ci²rsega;216
78;Pl. Universitat;NA
79;Pl. Universitat;NA
80;Enric Granados;35
81;Vilamari­ davant;61
82;Rocafort;72
83;Comte Borrell;177
84;Comte d'Urgell;75 B
85;Paral.lel;146
86;Viladomat;2
87;Mallorca;41
88;Londres;101
89;Rosselli³;101
90;Rosselli³;108
91;Comte Borrell;119
92;Proveni§a;241
93;Gran Via;375
94;Gran Via;375
95;Tarragona;103
96;Gran Via;361
97;Tarragona;141
98;Viriat;45
99;Viriat;53
100;Tarragona;159
101;Av. Diagonal;602
102;Av. Diagonal;612
103;Aragi³;629
104;C/Vali¨ncia;621
105;PL. Urquinaona;9
106;Pl. Joanic;s/n
107;Travessera de Gracia;92
108;Indiºstria;10
109;C/ Londres;53
110;Avda. Roma;136
111;Calabria;137
112;Floridablanca;49
113;Sant Pau;51
114;Pl. Jean Genet;1
115;Marqui©s d'Argentera;3
116;Salvat Papasseit;72
117;Rosa Sensat;12
118;Sardenya;3
119;Sardenya;178
120;Lepant;278
121;Castillejos;258
122;Ni pols;344
123;Girona;142
124;Passeig Joan de Borbi³;s/n
125;Passeig Maritim;31
126;Passeig de Colom;NA
127;Aragi³;661
128;Rambla Guipiºscoa;43
129;Manso;46
130;Rambla Guipiºscoa;103
131;Rambla Guipiºscoa;158
132;Pl. Valenti­ Amirall;NA
133;Gran Vi­a;902
134;Bac de Roda;157
135;Gran Vi­a;981
136;Gran Vi­a;1062
137;Gran Vi­a, 1041/ Selva de Mar;1041
138;Gran Vi­a;1118
139;Gran Vi­a;1131
140;Viladomat;122
141;Gran Via;940
142;Sancho de ivila;104
143;Sancho de ivila;170
144;Castella;28
145;Pere IV;301
146;Pere IV;464
147;Rambla Prim;79
148;Ronda Sant Pau;79
149;Pujades;57B
150;Espronceda;124
151;Pallars;462
152;Pujades;121
153;Pujades;173
154;Pujades;191
155;Pujades;311
156;Diagonal;46
157;C/ LLULL - RBLA. PRIM;465
158;Rambla de Prim;19
159;Avda. Diagonal;26
160;Avda. d'Eduard Maristany;1
161;Ramon Turro;91
162;Ramon Turro;292
163;Avda. Icaria;202
164;Independi¨ncia;379
165;Carrer del Doctor Trueta;221
166;Bilbao;11
167;Bac de Roda;11
168;Selva de Mar;0
169;Avda. Litoral;40
170;Avda. Litoral;40
171;Passeig Mari­tim de la Nova Ici ria;83
172;Passeig Mari­tim de la Nova Ici ria;83
173;Avda. Litoral;84
174;Passeig de Garcia Fi ria;21
175;Llull / Proveni§als;309
176;Passeig de Garcia Fi ria;37
177;Rosselli³;557
178;Passeig de Garcia Fi ria;85
179;Pg. Zona Franca;244
180;Gran Via;181
181;Gran Via;180
182;Gran Via;273
183;Gavi ;1
184;Quetzal;22
185;Gavi ;81
186;Consell de Cent;6
187;Carrer de Sant Pau;89
188;Pl. Sants (Ps. S. Antoni);0
189;Bruc;130
190;Avinguda Litoral;72
191;Rocafort;167
192;Joan Gi¼ell;50
193;Figols;1
194;Joan Gi¼ell;98
195;Vallespir;130
196;Berli­n;38
197;Gelabert;1
198;Vallespir;194
199;Meji­a Lequerica;2
200;Can bruixa;1
201;Numi ncia;136
202;Carrer de les Corts;20
203;Avda. Diagonal;664
204;Avda. Diagonal;668
205;Europa;25
206;Avda. Diagonal;650
207;Avda. Diagonal;634
208;Avda. Diagonal;630
209;Diputacii³;200
210;Vilardell;18
211;Sancho de ivila;60
212;Av. Sarrii ;163
213;Sant Fe de Nou Mi¨xic;2
214;Josi© de Agulli³;19
215;Carrer de Ganduxer;29
216;Madrazo;131
217;Rector Ubach;24
218;Consell de Cent;566
219;Carre Laforja;74
220;Tuset;19
221;Gran de Gri cia;155
222;Carrer del Cani³;1
223;Carrer de Bonavista;14
224;Girona;176
225;Mallorca;84
226;Montmany;1
227;Torrent de Les Flors;102
228;Pl. Del Nord;5
229;Carrer de la Santacreu;2
230;C. De Nil Fabra;16
231;Pi i Margall;38
232;Vili  i Vili ;45
233;Nou de la Rambla;164
234;Passeig de l'Exposicii³;30
235;Paral.lel;98
236;Avinguda Paral.lel;194
237;Rius i Taulet;4
238;Espronceda;298
239;Indiºstria;329
240;Josep Estivill;32
241;Teodor Llorente;2
242;Ramon Albi³;1
243;Alenxadre Gali­;1
244;Felip II;214
246;Garcilaso;77
247;Felipe II;112
248;Pali¨ncia;31
249;Ai§ores;1
