,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
11876,2018S002126    ,AutobÃºs,LION'S CIT,CARROCERA CASTR,Vermell,D,27
11877,2018S002126    ,Motocicleta,LIBERTY,PIAGGIO,Negre,B,18
11878,2018S003399    ,AutobÃºs,O 530,MERCEDES,Vermell,D,12
11879,2018S003399    ,Turisme,Desconegut,Desconegut,Negre,Desconegut,Desconegut
11880,2018S007310    ,Motocicleta,EX 650,KAWASAKI,Negre,A2,2
11881,2018S007310    ,Turisme,RANGE ROVER,LAND ROVER,Vermell,B,13
11882,2018S003234    ,Motocicleta,F 800,BMW,Blau,A,40
11883,2018S003234    ,Motocicleta,SHIVER 750,APRILIA,Gris,A2,1
11884,2018S000668    ,Motocicleta,SH 150,HONDA,Gris,B,18
11885,2018S000668    ,Turisme,LOGAN,DACIA,Gris,B,55
11886,2018S001307    ,Turisme,A3,AUDI,Blanc,B,14
11887,2018S001307    ,Turisme,EVOQUE,LAND ROVER,Negre,B,22
11888,2018S006174    ,Ciclomotor,VESPA LX 5,PIAGGIO,Desconegut,LlicÃ¨ncia,11
11889,2018S006174    ,Motocicleta,JF,HONDA,Negre,B,12
11890,2018S008330    ,Motocicleta,SH 150,HONDA,Gris,A,42
11891,2018S008330    ,Turisme,ASTRA,OPEL,Gris,B,14
11892,2018S007830    ,AutobÃºs,NL 243 F/G,MAN,Vermell,D,4
11893,2018S007830    ,Furgoneta,PARTNER,PEUGEOT,Blanc,B,20
11894,2018S009448    ,Turisme,A4,AUDI,Platejat,B,18
11895,2018S006122    ,Motocicleta,GN 250,SUZUKI,Vermell,B,9
11896,2018S006122    ,Turisme,LEON,SEAT,Gris,B,13
11897,2018S006774    ,AutobÃºs,7900,VOLVO,Vermell,D,Desconegut
11898,2018S006774    ,Ciclomotor,SCOOPY,HONDA,Gris,B,17
11899,2018S006774    ,Turisme,CADDY,VOLKSWAGEN,Gris,B,4
11900,2018S004951    ,Motocicleta,Z800,KAWASAKI,Taronja,A2,2
11901,2018S004951    ,Turisme,A 150,MERCEDES,Gris,B,34
11902,2018S004951    ,Turisme,TIGUAN,VOLKSWAGEN,Gris,B,21
11903,2018S007860    ,Motocicleta,SPEED TRIPLE,TRIUMPH,Negre,A,5
11904,2018S007860    ,Turisme,XSARA,CITROEN,Gris,B,34
11905,2018S006873    ,Furgoneta,DOBLO,FIAT,Verd,B,24
11906,2018S006873    ,Motocicleta,SH 1125,HONDA,Gris,B,30
11907,2018S008494    ,Turisme,AURIS,TOYOTA,Gris,B,19
11908,2018S008494    ,Turisme,X3,BMW,Blanc,B,38
11909,2018S001033    ,Ciclomotor,ARK,BETA,Negre,LlicÃ¨ncia,8
11910,2018S007202    ,Motocicleta,SYMPHONY 1,SYM,Negre,A2,8
11911,2018S007202    ,Turisme,C 250,MERCEDES,Gris,B,36
11912,2018S008905    ,Turisme,ACCORD 2.2,HONDA,Gris,B,46
11913,2018S008905    ,Turisme,YARIS,TOYOTA,Gris,B,29
11914,2018S007734    ,Furgoneta,DUCATO,FIAT,Blanc,B,10
11915,2018S007734    ,Veh. mobilitat personal amb motor,Desconegut,ES DESCONEIX,Desconegut,Desconegut,Desconegut
11916,2018S002298    ,Furgoneta,KOMBI,VOLKSWAGEN,Blanc,B,12
11917,2018S002298    ,Motocicleta,PCX,HONDA,Negre,B,13
11918,2018S001103    ,Motocicleta,VESPA,PIAGGIO,Vermell,A,32
11919,2018S001103    ,Turisme,EVOQUE,LAND ROVER,Blanc,B,45
11920,2018S004279    ,Motocicleta,NXC 125,YAMAHA,Gris,A,7
11921,2018S004279    ,Turisme,C3,CITROEN,Gris,B,8
11922,2018S007548    ,"CamiÃ³ rÃ­gid <= 3,5 tones",TG360,MAN,Blanc,C,38
11923,2018S007548    ,Motocicleta,SH 100,HONDA,Beige,A2,8
11924,2018S001864    ,"CamiÃ³ rÃ­gid <= 3,5 tones",CABSTAR,NISSAN,Blau,B,6
11925,2018S001864    ,Furgoneta,MOVANO,OPEL,Blanc,C1,21
