"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat any a any","Nombre"
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","54 anys",89
2015,8,"Nou Barris",47,"Can Peguera","Home","54 anys",13
2015,8,"Nou Barris",48,"la Guineueta","Home","54 anys",93
2015,8,"Nou Barris",49,"Canyelles","Home","54 anys",44
2015,8,"Nou Barris",50,"les Roquetes","Home","54 anys",97
2015,8,"Nou Barris",51,"Verdun","Home","54 anys",73
2015,8,"Nou Barris",52,"la Prosperitat","Home","54 anys",141
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","54 anys",51
2015,8,"Nou Barris",54,"Torre Baró","Home","54 anys",8
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","54 anys",59
2015,8,"Nou Barris",56,"Vallbona","Home","54 anys",8
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","54 anys",60
2015,9,"Sant Andreu",58,"Baró de Viver","Home","54 anys",19
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","54 anys",76
2015,9,"Sant Andreu",60,"Sant Andreu","Home","54 anys",371
2015,9,"Sant Andreu",61,"la Sagrera","Home","54 anys",174
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","54 anys",102
2015,9,"Sant Andreu",63,"Navas","Home","54 anys",152
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","54 anys",240
2015,10,"Sant Martí",65,"el Clot","Home","54 anys",191
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","54 anys",78
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","54 anys",74
2015,10,"Sant Martí",68,"el Poblenou","Home","54 anys",211
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","54 anys",71
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Home","54 anys",152
2015,10,"Sant Martí",71,"Provençals del Poblenou","Home","54 anys",153
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Home","54 anys",163
2015,10,"Sant Martí",73,"la Verneda i la Pau","Home","54 anys",195
2015,1,"Ciutat Vella",1,"el Raval","Home","55 anys",257
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Home","55 anys",110
2015,1,"Ciutat Vella",3,"la Barceloneta","Home","55 anys",111
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","55 anys",127
2015,2,"Eixample",5,"el Fort Pienc","Home","55 anys",197
2015,2,"Eixample",6,"la Sagrada Família","Home","55 anys",348
2015,2,"Eixample",7,"la Dreta de l'Eixample","Home","55 anys",244
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","55 anys",262
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","55 anys",323
2015,2,"Eixample",10,"Sant Antoni","Home","55 anys",218
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Home","55 anys",217
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","55 anys",10
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Home","55 anys",203
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","55 anys",59
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Home","55 anys",94
2015,3,"Sants-Montjuïc",16,"la Bordeta","Home","55 anys",146
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Home","55 anys",150
2015,3,"Sants-Montjuïc",18,"Sants","Home","55 anys",275
2015,4,"Les Corts",19,"les Corts","Home","55 anys",300
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","55 anys",146
2015,4,"Les Corts",21,"Pedralbes","Home","55 anys",60
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","55 anys",24
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","55 anys",148
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","55 anys",94
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","55 anys",170
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","55 anys",281
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","55 anys",166
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Home","55 anys",99
2015,6,"Gràcia",29,"el Coll","Home","55 anys",48
2015,6,"Gràcia",30,"la Salut","Home","55 anys",70
2015,6,"Gràcia",31,"la Vila de Gràcia","Home","55 anys",260
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","55 anys",214
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","55 anys",155
2015,7,"Horta-Guinardó",34,"Can Baró","Home","55 anys",59
2015,7,"Horta-Guinardó",35,"el Guinardó","Home","55 anys",224
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","55 anys",89
2015,7,"Horta-Guinardó",37,"el Carmel","Home","55 anys",157
2015,7,"Horta-Guinardó",38,"la Teixonera","Home","55 anys",76
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","55 anys",38
2015,7,"Horta-Guinardó",40,"Montbau","Home","55 anys",16
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","55 anys",45
2015,7,"Horta-Guinardó",42,"la Clota","Home","55 anys",5
2015,7,"Horta-Guinardó",43,"Horta","Home","55 anys",188
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","55 anys",173
2015,8,"Nou Barris",45,"Porta","Home","55 anys",128
2015,8,"Nou Barris",46,"el Turó de la Peira","Home","55 anys",111
2015,8,"Nou Barris",47,"Can Peguera","Home","55 anys",18
2015,8,"Nou Barris",48,"la Guineueta","Home","55 anys",85
2015,8,"Nou Barris",49,"Canyelles","Home","55 anys",39
2015,8,"Nou Barris",50,"les Roquetes","Home","55 anys",85
2015,8,"Nou Barris",51,"Verdun","Home","55 anys",62
2015,8,"Nou Barris",52,"la Prosperitat","Home","55 anys",148
2015,8,"Nou Barris",53,"la Trinitat Nova","Home","55 anys",48
2015,8,"Nou Barris",54,"Torre Baró","Home","55 anys",32
2015,8,"Nou Barris",55,"Ciutat Meridiana","Home","55 anys",42
2015,8,"Nou Barris",56,"Vallbona","Home","55 anys",8
2015,9,"Sant Andreu",57,"la Trinitat Vella","Home","55 anys",49
2015,9,"Sant Andreu",58,"Baró de Viver","Home","55 anys",18
2015,9,"Sant Andreu",59,"el Bon Pastor","Home","55 anys",75
2015,9,"Sant Andreu",60,"Sant Andreu","Home","55 anys",356
2015,9,"Sant Andreu",61,"la Sagrera","Home","55 anys",144
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Home","55 anys",78
2015,9,"Sant Andreu",63,"Navas","Home","55 anys",139
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","55 anys",219
2015,10,"Sant Martí",65,"el Clot","Home","55 anys",203
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","55 anys",93
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","55 anys",74
2015,10,"Sant Martí",68,"el Poblenou","Home","55 anys",192
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","55 anys",62
