,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
4692,2017S010634    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Ganduxer / Bori i Fontestà                        ,Sunday,December,24,1,Night,2,0,2,3,2.138633,41.392998999999996
5082,2017S010649    ,Sant Martí,el Camp de l'Arpa del Clot,Freser / Independència                            ,Sunday,December,24,19,Afternoon,1,0,1,2,2.1796919999999997,41.410613
5134,2017S010657    ,Sant Martí,la Verneda i la Pau,Prim / Andrade                                    ,Monday,December,25,23,Night,2,0,2,2,2.207162,41.420491
5505,2017S010655    ,Eixample,l'Antiga Esquerra de l'Eixample,Villarroel / Aragó                                ,Monday,December,25,21,Afternoon,1,0,1,2,2.156205,41.385633
6045,2017S010640    ,Sarrià-Sant Gervasi,Sarrià,Vallvidrera                                       ,Sunday,December,24,20,Afternoon,1,0,1,3,2.113182,41.407497
6250,2017S010650    ,Horta-Guinardó,el Guinardó,Guinardó                                          ,Monday,December,25,12,Morning,1,0,1,3,2.1720919999999997,41.415116999999995
6361,2017S010648    ,Sant Andreu,Navas,Clot / Felip II                                   ,Sunday,December,24,18,Afternoon,2,0,2,2,2.191268,41.417078000000004
6418,2017S010647    ,Sant Andreu,el Bon Pastor,Santander / Enric Sanchis                         ,Monday,December,25,6,Morning,1,0,1,2,2.206096,41.432941
7444,2017S010632    ,Gràcia,la Vila de Gràcia,Gran de Gràcia                                    ,Sunday,December,24,12,Morning,1,0,1,1,2.153797,41.401131
7542,2017S010629    ,Horta-Guinardó,Horta,Cartellà                                          ,Sunday,December,24,4,Night,1,0,1,2,2.164707,41.430552
7821,2017S010652    ,Sant Martí,Provençals del Poblenou,Perú                                              ,Monday,December,25,15,Afternoon,1,0,1,2,2.206063,41.415746999999996
8670,2017S010642    ,Sarrià-Sant Gervasi,Sarrià,Vergós                                            ,Sunday,December,24,23,Night,1,0,1,1,2.127298,41.397118
9188,2017S010651    ,Sant Martí,el Parc i la Llacuna del Poblenou,Joan d'Àustria                                    ,Monday,December,25,17,Afternoon,1,0,1,2,2.187482,41.396274
9207,2017S010784    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Monday,December,25,16,Afternoon,1,0,1,1,2.214286,41.402570000000004
