,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
9059,Sant Martí,Friday,October,6,Afternoon,1,0,1,1
9060,Sant Martí,Tuesday,November,7,Afternoon,1,0,1,2
9061,Sant Martí,Thursday,August,24,Morning,1,0,1,1
9062,Sant Martí,Saturday,December,2,Morning,1,0,1,2
9063,Sant Martí,Monday,February,27,Afternoon,1,0,1,2
9064,Sant Martí,Tuesday,February,28,Morning,1,0,1,1
9065,Sant Martí,Monday,November,27,Morning,1,0,1,2
9066,Sant Martí,Monday,August,28,Morning,1,0,1,2
9067,Sant Martí,Thursday,March,30,Morning,2,0,2,4
9068,Sant Martí,Saturday,February,25,Afternoon,1,0,1,2
9069,Sant Martí,Friday,February,10,Night,2,0,2,2
9070,Sant Martí,Tuesday,July,11,Afternoon,0,0,0,2
9071,Sant Martí,Wednesday,September,27,Night,2,1,3,2
9072,Sant Martí,Saturday,September,30,Afternoon,2,0,2,2
9073,Sant Martí,Sunday,September,17,Afternoon,2,0,2,2
9075,Sant Martí,Sunday,July,23,Morning,2,0,2,3
9076,Sant Martí,Tuesday,February,7,Afternoon,2,0,2,2
9077,Sant Martí,Wednesday,May,3,Night,1,0,1,2
9079,Sant Martí,Wednesday,March,29,Afternoon,1,0,1,1
9080,Sant Martí,Thursday,April,6,Afternoon,1,0,1,2
9081,Sant Martí,Wednesday,March,8,Afternoon,1,0,1,2
9082,Sant Martí,Friday,February,3,Afternoon,1,0,1,2
9084,Sant Martí,Friday,August,4,Night,2,1,3,2
9085,Sant Martí,Thursday,April,6,Afternoon,1,0,1,2
9086,Sant Martí,Sunday,June,25,Morning,1,0,1,2
9087,Sant Martí,Friday,December,22,Morning,1,0,1,3
9088,Sant Martí,Friday,January,20,Afternoon,1,0,1,2
9089,Sant Martí,Saturday,January,14,Afternoon,1,0,1,2
9090,Sant Martí,Friday,May,19,Afternoon,2,0,2,1
9091,Sant Martí,Thursday,October,19,Morning,1,0,1,2
9092,Sant Martí,Wednesday,July,5,Afternoon,1,0,1,2
9093,Sant Martí,Monday,May,29,Night,1,0,1,2
9094,Sant Martí,Thursday,November,23,Afternoon,2,0,2,3
9095,Sant Martí,Tuesday,June,27,Morning,1,0,1,2
9096,Sant Martí,Thursday,May,4,Morning,0,0,0,1
9097,Sant Martí,Sunday,January,29,Afternoon,1,0,1,3
9098,Sant Martí,Friday,March,10,Morning,1,0,1,2
9099,Sant Martí,Sunday,August,13,Morning,1,0,1,2
9100,Sant Martí,Saturday,April,22,Afternoon,2,0,2,2
9101,Sant Martí,Monday,May,8,Morning,1,0,1,2
9102,Sant Martí,Tuesday,July,25,Morning,1,0,1,2
9103,Sant Martí,Saturday,September,2,Afternoon,1,0,1,1
9104,Sant Martí,Saturday,February,18,Morning,2,0,2,2
9105,Sant Martí,Tuesday,November,14,Morning,1,0,1,3
9106,Sant Martí,Friday,March,31,Morning,1,0,1,2
9107,Sant Martí,Wednesday,May,17,Morning,1,0,1,2
9108,Sant Martí,Monday,April,24,Night,1,0,1,3
9109,Sant Martí,Tuesday,June,27,Afternoon,1,0,1,3
9110,Sant Martí,Tuesday,September,19,Afternoon,1,0,1,2
9111,Sant Martí,Thursday,February,2,Afternoon,2,0,2,2
9112,Sant Martí,Friday,December,15,Afternoon,1,0,1,1
9113,Sant Martí,Friday,August,4,Night,1,0,1,2
9114,Sant Martí,Thursday,January,5,Morning,2,0,2,2
9116,Sant Martí,Friday,December,1,Afternoon,1,0,1,2
9117,Sant Martí,Thursday,September,7,Afternoon,0,0,0,2
9118,Sant Martí,Thursday,March,2,Afternoon,1,0,1,2
9119,Sant Martí,Saturday,February,11,Morning,1,0,1,1
9120,Sant Martí,Friday,February,24,Morning,1,0,1,2
9121,Sant Martí,Tuesday,May,2,Afternoon,1,0,1,2
9122,Sant Martí,Thursday,July,13,Morning,1,0,1,2
9123,Sant Martí,Tuesday,August,29,Afternoon,1,0,1,1
9124,Sant Martí,Friday,September,29,Afternoon,1,0,1,1
9125,Sant Martí,Tuesday,July,18,Morning,5,0,5,2
9126,Sant Martí,Monday,May,8,Afternoon,2,0,2,2
9127,Sant Martí,Wednesday,April,5,Afternoon,1,1,2,2
9128,Sant Martí,Thursday,May,11,Afternoon,1,0,1,2
9129,Sant Martí,Friday,March,3,Night,1,0,1,2
9130,Sant Martí,Sunday,February,26,Afternoon,1,0,1,1
9131,Sant Martí,Wednesday,September,20,Afternoon,1,0,1,2
9132,Sant Martí,Wednesday,March,15,Afternoon,2,0,2,4
9133,Sant Martí,Friday,October,6,Morning,1,0,1,2
9134,Sant Martí,Monday,November,13,Morning,1,0,1,2
9135,Sant Martí,Thursday,May,11,Morning,1,0,1,2
9136,Sant Martí,Saturday,July,22,Afternoon,0,1,1,2
9137,Sant Martí,Sunday,July,23,Afternoon,1,0,1,3
9138,Sant Martí,Friday,October,6,Afternoon,1,0,1,1
9139,Sant Martí,Friday,July,7,Night,0,1,1,1
9140,Sant Martí,Monday,May,15,Afternoon,1,0,1,2
9141,Sant Martí,Thursday,August,3,Morning,4,0,4,2
9142,Sant Martí,Wednesday,January,4,Morning,1,0,1,2
9143,Sant Martí,Tuesday,May,30,Afternoon,1,0,1,2
9144,Sant Martí,Monday,July,31,Morning,1,0,1,4
9145,Sant Martí,Monday,November,13,Morning,1,0,1,1
9146,Sant Martí,Thursday,July,13,Afternoon,1,0,1,2
9147,Sant Martí,Monday,October,16,Afternoon,1,0,1,2
9148,Sant Martí,Monday,July,3,Afternoon,5,0,5,2
9149,Sant Martí,Wednesday,April,12,Afternoon,1,0,1,2
9150,Sant Martí,Thursday,July,13,Afternoon,1,0,1,1
9151,Sant Martí,Saturday,November,11,Afternoon,1,1,2,3
9152,Sant Martí,Thursday,May,4,Afternoon,3,0,3,2
9153,Sant Martí,Thursday,April,13,Afternoon,1,0,1,2
9154,Sant Martí,Thursday,March,23,Afternoon,1,0,1,2
9155,Sant Martí,Saturday,October,28,Afternoon,2,0,2,2
9156,Sant Martí,Friday,October,27,Afternoon,2,0,2,2
9157,Sant Martí,Monday,February,27,Afternoon,1,0,1,1
9158,Sant Martí,Thursday,November,23,Afternoon,2,0,2,2
9159,Sant Martí,Sunday,July,16,Morning,3,0,3,3
9160,Sant Martí,Saturday,June,10,Morning,1,0,1,2
9161,Sant Martí,Wednesday,May,31,Afternoon,1,0,1,2
