,Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
6936,2017S008793    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Tuesday,October,24,12,Morning,1,0,1,2,2.164132,41.390378999999996
6937,2017S001886    ,Eixample,la Dreta de l'Eixample,ARAGÓ                                             ,Wednesday,March,8,3,Night,0,0,0,14,2.162429,41.390124
6938,2017S006337    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Thursday,July,20,11,Morning,1,0,1,2,2.171148,41.386417
6939,2017S004646    ,Eixample,la Dreta de l'Eixample,Diputació / Catalunya                             ,Friday,May,26,13,Morning,1,0,1,2,2.165737,41.389419000000004
6940,2017S005212    ,Eixample,la Dreta de l'Eixample,Consell de Cent / Gràcia                          ,Wednesday,June,14,13,Morning,1,0,1,2,2.165956,41.391288
6941,2017S005653    ,Eixample,la Dreta de l'Eixample,Gràcia                                            ,Thursday,June,29,11,Morning,1,0,1,2,2.1701330000000003,41.388356
6942,2017S008600    ,Eixample,la Dreta de l'Eixample,Aragó / Catalunya                                 ,Wednesday,October,18,20,Afternoon,1,0,1,2,2.163448,41.391077
6943,2017S004176    ,Eixample,la Dreta de l'Eixample,Girona / Consell de Cent                          ,Thursday,May,11,8,Morning,2,0,2,1,2.1709099999999997,41.394996
6944,2017S004113    ,Eixample,la Dreta de l'Eixample,Urquinaona                                        ,Tuesday,May,9,12,Morning,1,0,1,2,2.17244,41.389101000000004
6945,2017S007297    ,Eixample,la Dreta de l'Eixample,Urquinaona / Roger de Llúria                      ,Thursday,August,31,16,Afternoon,3,0,3,1,2.1734080000000002,41.389688
6946,2017S001514    ,Eixample,la Dreta de l'Eixample,RDA SANT PERE                                     ,Friday,February,24,0,Night,1,0,1,2,2.179249,41.391227
6947,2017S006004    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Balmes                          ,Monday,July,10,19,Afternoon,0,1,1,2,2.165353,41.387244
6948,2017S004972    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Wednesday,June,7,8,Morning,1,0,1,2,2.166235,41.387559
6949,2017S000579    ,Eixample,la Dreta de l'Eixample,PL CATALUNYA                                      ,Saturday,January,21,19,Afternoon,0,0,0,3,2.1694009999999997,41.386016
6950,2017S008516    ,Eixample,la Dreta de l'Eixample,Corts Catalanes                                   ,Monday,October,16,18,Afternoon,1,0,1,2,2.1679630000000003,41.388858
6951,2017S008774    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Pau Claris                      ,Monday,October,23,18,Afternoon,0,0,0,1,2.169896,41.390642
6952,2017S000860    ,Eixample,la Dreta de l'Eixample,RBLA CATALUNYA / Aragó                            ,Wednesday,February,1,14,Afternoon,2,0,2,2,2.163448,41.391077
6953,2017S001846    ,Eixample,la Dreta de l'Eixample,ARAGÓ                                             ,Monday,March,6,16,Afternoon,1,0,1,2,2.163945,41.391231
6954,2017S005221    ,Eixample,la Dreta de l'Eixample,Consell de Cent                                   ,Wednesday,June,14,20,Afternoon,1,0,1,1,2.164044,41.389708
6955,2017S000678    ,Eixample,la Dreta de l'Eixample,BRUC                                              ,Thursday,January,26,9,Morning,1,0,1,2,2.169283,41.394646
6956,2017S006751    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / Catalunya                       ,Friday,August,4,11,Morning,1,0,1,2,2.167024,41.388486
6957,2017S007460    ,Eixample,la Dreta de l'Eixample,Corts Catalanes / pg gràcia                       ,Thursday,September,7,22,Night,1,0,1,1,2.167544,41.389205
6958,2017S006349    ,Eixample,la Dreta de l'Eixample,Urquinaona / Fontanella                           ,Thursday,July,20,15,Afternoon,1,0,1,2,2.172761,41.388462
6959,2017S001788    ,Eixample,la Dreta de l'Eixample,FONTANELLA / Via Laietana                         ,Saturday,March,4,14,Afternoon,1,0,1,1,2.172761,41.388462
6960,2017S003138    ,Eixample,la Dreta de l'Eixample,Urquinaona                                        ,Wednesday,April,5,10,Morning,1,0,1,2,2.17244,41.389101000000004
6961,2017S009077    ,Eixample,la Dreta de l'Eixample,Pau Claris                                        ,Friday,November,3,10,Morning,1,0,1,2,2.171449,41.389319
6962,2017S001948    ,Eixample,la Dreta de l'Eixample,PAU CLARIS                                        ,Thursday,March,9,21,Afternoon,1,0,1,1,2.16883,41.391290999999995
6963,2017S001070    ,Eixample,la Dreta de l'Eixample,DIPUTACIÓ / Pau Claris                            ,Wednesday,February,8,20,Afternoon,0,1,1,2,2.1686360000000002,41.39157
6964,2017S000102    ,Eixample,la Dreta de l'Eixample,PAU CLARIS / Diputació                            ,Thursday,January,5,8,Morning,1,0,1,2,2.1686360000000002,41.39157
6965,2017S006420    ,Eixample,la Dreta de l'Eixample,Catalunya                                         ,Saturday,July,22,21,Afternoon,1,0,1,1,2.166075,41.38896
6966,2017S008802    ,Eixample,la Dreta de l'Eixample,Bruc                                              ,Tuesday,October,24,15,Afternoon,1,0,1,2,2.173572,41.391129
6967,2017S007769    ,Eixample,la Dreta de l'Eixample,Pau Claris                                        ,Tuesday,September,19,23,Night,1,0,1,2,2.170473,41.390326
6968,2017S001505    ,Eixample,la Dreta de l'Eixample,PAU CLARIS / GV Corts Catalanes                   ,Thursday,February,23,16,Afternoon,1,0,1,2,2.169896,41.390642
6969,2017S005662    ,Eixample,la Dreta de l'Eixample,Consell de Cent / Catalunya                       ,Thursday,June,29,15,Afternoon,1,0,1,2,2.1645849999999998,41.390240999999996
6970,2017S008640    ,Eixample,la Dreta de l'Eixample,Balmes / Diputació                                ,Thursday,October,19,22,Night,1,0,1,1,2.164116,41.388186
6971,2017S000746    ,Eixample,la Dreta de l'Eixample,PL URQUINAONA                                     ,Saturday,January,28,8,Morning,1,0,1,2,2.17313,41.38859
