,Unnamed: 0,District Name,Weekday,Month,Day,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Date
501,501,Eixample,Monday,June,5,Morning,2,0,2,2,June 5
502,502,Eixample,Sunday,June,4,Morning,2,0,2,2,June 4
503,503,Sants-Montjuïc,Monday,June,5,Night,1,0,1,2,June 5
504,504,Gràcia,Friday,June,2,Afternoon,2,0,2,2,June 2
505,505,Horta-Guinardó,Friday,June,2,Night,1,0,1,2,June 2
506,506,Horta-Guinardó,Sunday,June,4,Morning,2,0,2,2,June 4
507,507,Nou Barris,Friday,June,2,Morning,1,0,1,1,June 2
508,508,Sant Andreu,Monday,June,5,Morning,0,0,0,1,June 5
509,509,Sant Martí,Friday,June,2,Morning,1,0,1,2,June 2
510,510,Ciutat Vella,Saturday,June,3,Afternoon,1,0,1,2,June 3
511,511,Eixample,Friday,June,2,Morning,1,0,1,2,June 2
512,512,Eixample,Sunday,June,4,Morning,0,1,1,3,June 4
513,513,Sants-Montjuïc,Friday,June,2,Afternoon,1,0,1,2,June 2
514,514,Sants-Montjuïc,Friday,June,2,Night,1,0,1,1,June 2
515,515,Les Corts,Monday,June,5,Afternoon,4,0,4,2,June 5
516,516,Horta-Guinardó,Sunday,June,4,Afternoon,0,0,0,2,June 4
517,517,Nou Barris,Friday,June,2,Afternoon,1,0,1,2,June 2
518,518,Nou Barris,Friday,June,2,Night,1,0,1,2,June 2
519,519,Nou Barris,Monday,June,5,Afternoon,1,0,1,1,June 5
520,520,Nou Barris,Monday,June,5,Afternoon,0,1,1,1,June 5
521,521,Unknown,Friday,June,2,Morning,1,0,1,1,June 2
522,522,Ciutat Vella,Sunday,June,4,Morning,0,0,0,2,June 4
523,523,Eixample,Sunday,June,4,Night,1,0,1,3,June 4
524,524,Eixample,Friday,June,2,Afternoon,1,0,1,4,June 2
525,525,Eixample,Friday,June,2,Afternoon,0,0,0,2,June 2
526,526,Eixample,Saturday,June,3,Morning,0,0,0,2,June 3
527,527,Sants-Montjuïc,Saturday,June,3,Morning,1,0,1,2,June 3
528,528,Sants-Montjuïc,Monday,June,5,Afternoon,1,0,1,2,June 5
529,529,Gràcia,Friday,June,2,Morning,1,0,1,2,June 2
530,530,Sant Andreu,Monday,June,5,Night,1,0,1,2,June 5
531,531,Sant Andreu,Monday,June,5,Night,1,0,1,2,June 5
532,532,Sant Andreu,Friday,June,2,Afternoon,1,0,1,2,June 2
533,533,Sant Martí,Monday,June,5,Afternoon,1,0,1,2,June 5
534,534,Sant Martí,Friday,June,2,Afternoon,1,0,1,2,June 2
535,535,Sants-Montjuïc,Monday,June,5,Afternoon,0,0,0,2,June 5
536,536,Les Corts,Friday,June,2,Afternoon,1,0,1,2,June 2
537,537,Les Corts,Friday,June,2,Morning,0,0,0,2,June 2
538,538,Sarrià-Sant Gervasi,Sunday,June,4,Night,2,0,2,2,June 4
539,539,Sarrià-Sant Gervasi,Saturday,June,3,Morning,0,0,0,1,June 3
540,540,Sant Andreu,Friday,June,2,Morning,0,0,0,1,June 2
541,541,Sant Andreu,Monday,June,5,Morning,1,0,1,2,June 5
542,542,Ciutat Vella,Sunday,June,4,Afternoon,1,0,1,2,June 4
543,543,Ciutat Vella,Sunday,June,4,Morning,1,0,1,2,June 4
544,544,Ciutat Vella,Sunday,June,4,Afternoon,1,0,1,2,June 4
545,545,Eixample,Monday,June,5,Afternoon,1,0,1,1,June 5
546,546,Sants-Montjuïc,Friday,June,2,Morning,1,0,1,2,June 2
547,547,Sants-Montjuïc,Saturday,June,3,Morning,1,0,1,3,June 3
548,548,Sants-Montjuïc,Sunday,June,4,Afternoon,2,0,2,2,June 4
549,549,Sants-Montjuïc,Friday,June,2,Afternoon,0,0,0,2,June 2
550,550,Sarrià-Sant Gervasi,Friday,June,2,Morning,1,0,1,2,June 2
551,551,Sarrià-Sant Gervasi,Friday,June,2,Morning,1,0,1,2,June 2
552,552,Gràcia,Friday,June,2,Morning,1,0,1,2,June 2
553,553,Nou Barris,Saturday,June,3,Morning,2,0,2,2,June 3
554,554,Sant Martí,Friday,June,2,Morning,1,0,1,2,June 2
555,555,Sant Martí,Friday,June,2,Afternoon,1,0,1,2,June 2
556,556,Eixample,Sunday,June,4,Morning,1,0,1,1,June 4
557,557,Eixample,Saturday,June,3,Afternoon,0,0,0,4,June 3
558,558,Eixample,Saturday,June,3,Afternoon,1,0,1,2,June 3
559,559,Eixample,Sunday,June,4,Morning,2,0,2,1,June 4
560,560,Sants-Montjuïc,Friday,June,2,Afternoon,1,0,1,2,June 2
561,561,Sants-Montjuïc,Sunday,June,4,Afternoon,0,0,0,2,June 4
562,562,Les Corts,Sunday,June,4,Morning,3,4,7,2,June 4
563,563,Sarrià-Sant Gervasi,Saturday,June,3,Afternoon,0,0,0,2,June 3
564,564,Sarrià-Sant Gervasi,Saturday,June,3,Afternoon,1,0,1,2,June 3
565,565,Sarrià-Sant Gervasi,Friday,June,2,Morning,0,0,0,1,June 2
566,566,Horta-Guinardó,Friday,June,2,Afternoon,1,0,1,2,June 2
567,567,Nou Barris,Friday,June,2,Morning,0,1,1,3,June 2
568,568,Sant Martí,Tuesday,August,15,Afternoon,1,0,1,2,August 15
569,569,Eixample,Tuesday,August,15,Afternoon,1,0,1,3,August 15
570,570,Eixample,Tuesday,August,15,Morning,2,0,2,2,August 15
571,571,Eixample,Tuesday,August,15,Morning,1,0,1,2,August 15
572,572,Sants-Montjuïc,Tuesday,August,15,Morning,1,0,1,2,August 15
573,573,Gràcia,Tuesday,August,15,Night,2,0,2,2,August 15
574,574,Sant Martí,Tuesday,August,15,Night,0,0,0,1,August 15
575,575,Eixample,Tuesday,August,15,Afternoon,1,0,1,2,August 15
576,576,Eixample,Tuesday,August,15,Afternoon,0,0,0,1,August 15
