Mes;Nom mes;Any;Regió Policial (RP);Àrea Bàsica Policial (ABP);Títol Codi Penal;Tipus de fet;Coneguts;Resolts;Detencions
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Usurpació;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l’honor;Calúmnia;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la Constitució;Contra exercici drets fonamentals i llibertats públiques;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;2;2;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Amenaces;12;11;4
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat;Coaccions;4;2;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Abusos sexuals;2;3;1
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra la llibertat i la indemnitat sexuals;Relatius a la prostitució;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Realització arbitrària del propi dret;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'Administració de justícia;Trencament de condemna;4;4;2
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra les relacions familiars;Contra els drets i deures familiars;2;3;
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Delictes contra l'ordre públic;Altres delictes contra l'ordre públic;3;2;2
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes contra la seguretat col·lectiva;Contra la salut pública;2;2;1
1;gener;2020;RP  Metropolitana Nord;ABP Cerdanyola;Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient;Protecció de la flora, fauna i animals domèstics;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les falsedats;De la usurpació de l'estat civil;2;;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Falsedats documentals;8;4;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Falsificació de moneda i efectes timbrats;2;;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les falsedats;Usurpació de funcions públiques i intrusisme;1;2;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les lesions;Lesions;66;69;16
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;De les tortures i altres delictes contra la integritat moral;Tracte degradant / vexatori;4;4;2
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Del tràfic d’éssers humans;Tràfic d'éssers humans;;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;13;6;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;184;12;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;240;17;1
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Extorsió;1;;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;358;50;9
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;28;23;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;1;1;
1;gener;2020;RP  Metropolitana Nord;ABP Granollers;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;188;16;14
