"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Edat_mitjana","Nombre"
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots estrangers",33.2475143903715
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Tots estrangers",31.2140491958373
2019,10,"Sant Martí",71,"Provençals del Poblenou","Tots estrangers",31.8388408744281
2019,10,"Sant Martí",72,"Sant Martí de Provençals","Tots estrangers",32.2712121212121
2019,10,"Sant Martí",73,"la Verneda i la Pau","Tots estrangers",32.170902716915
2019,1,"Ciutat Vella",1,"el Raval","Domicilis mixtos",34.0760857304005
2019,1,"Ciutat Vella",2,"el Barri Gòtic","Domicilis mixtos",35.5632475534614
2019,1,"Ciutat Vella",3,"la Barceloneta","Domicilis mixtos",36.8503960105603
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Domicilis mixtos",33.59163647343
2019,2,"Eixample",5,"el Fort Pienc","Domicilis mixtos",37.062707641196
2019,2,"Eixample",6,"la Sagrada Família","Domicilis mixtos",36.3845542192625
2019,2,"Eixample",7,"la Dreta de l'Eixample","Domicilis mixtos",38.4163830536322
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Domicilis mixtos",36.6644383561644
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Domicilis mixtos",36.5697137580794
2019,2,"Eixample",10,"Sant Antoni","Domicilis mixtos",36.2544028950543
2019,3,"Sants-Montjuïc",11,"el Poble Sec","Domicilis mixtos",34.5869456066946
2019,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Domicilis mixtos",36.2746113989637
2019,3,"Sants-Montjuïc",13,"la Marina de Port","Domicilis mixtos",34.4561973986228
2019,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Domicilis mixtos",37.4277833500501
2019,3,"Sants-Montjuïc",15,"Hostafrancs","Domicilis mixtos",34.8726580796253
2019,3,"Sants-Montjuïc",16,"la Bordeta","Domicilis mixtos",34.9770919503659
2019,3,"Sants-Montjuïc",17,"Sants - Badal","Domicilis mixtos",35.2347068819031
2019,3,"Sants-Montjuïc",18,"Sants","Domicilis mixtos",35.3252219664584
2019,4,"Les Corts",19,"les Corts","Domicilis mixtos",37.7379603399433
2019,4,"Les Corts",20,"la Maternitat i Sant Ramon","Domicilis mixtos",35.9953717988275
2019,4,"Les Corts",21,"Pedralbes","Domicilis mixtos",38.8293246993525
2019,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Domicilis mixtos",38.5555555555556
2019,5,"Sarrià-Sant Gervasi",23,"Sarrià","Domicilis mixtos",37.8937780932103
2019,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Domicilis mixtos",37.7478545157336
2019,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Domicilis mixtos",37.9214268498433
2019,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Domicilis mixtos",37.6528993435449
2019,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Domicilis mixtos",35.8391402714932
2019,6,"Gràcia",28,"Vallcarca i els Penitents","Domicilis mixtos",35.971912432879
2019,6,"Gràcia",29,"el Coll","Domicilis mixtos",35.0422960725076
2019,6,"Gràcia",30,"la Salut","Domicilis mixtos",35.9501491265445
2019,6,"Gràcia",31,"la Vila de Gràcia","Domicilis mixtos",35.7083069787055
2019,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Domicilis mixtos",35.8912250217202
2019,7,"Horta-Guinardó",33,"el Baix Guinardó","Domicilis mixtos",35.9380053908356
2019,7,"Horta-Guinardó",34,"Can Baró","Domicilis mixtos",34.5088177661659
2019,7,"Horta-Guinardó",35,"el Guinardó","Domicilis mixtos",35.3558309690906
2019,7,"Horta-Guinardó",36,"la Font d'en Fargues","Domicilis mixtos",35.5217391304348
2019,7,"Horta-Guinardó",37,"el Carmel","Domicilis mixtos",33.1107162895081
2019,7,"Horta-Guinardó",38,"la Teixonera","Domicilis mixtos",34.1024960169942
2019,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Domicilis mixtos",34.8605935127674
2019,7,"Horta-Guinardó",40,"Montbau","Domicilis mixtos",45.2315325248071
2019,7,"Horta-Guinardó",41,"la Vall d'Hebron","Domicilis mixtos",43.8196022727273
2019,7,"Horta-Guinardó",42,"la Clota","Domicilis mixtos",33.6842105263158
2019,7,"Horta-Guinardó",43,"Horta","Domicilis mixtos",35.4318181818182
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Domicilis mixtos",35.0892682926829
2019,8,"Nou Barris",45,"Porta","Domicilis mixtos",34.4486833220797
2019,8,"Nou Barris",46,"el Turó de la Peira","Domicilis mixtos",33.1127665039815
2019,8,"Nou Barris",47,"Can Peguera","Domicilis mixtos",31.05625
2019,8,"Nou Barris",48,"la Guineueta","Domicilis mixtos",35.6827027027027
2019,8,"Nou Barris",49,"Canyelles","Domicilis mixtos",35.2316602316602
2019,8,"Nou Barris",50,"les Roquetes","Domicilis mixtos",32.2172094412907
2019,8,"Nou Barris",51,"Verdun","Domicilis mixtos",33.5635491606715
2019,8,"Nou Barris",52,"la Prosperitat","Domicilis mixtos",33.0997742663657
