"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2020,4,6,"Gràcia",29,"el Coll",4950,"6.7"
2020,4,6,"Gràcia",30,"la Salut",8292,"7.9"
2020,4,6,"Gràcia",31,"la Vila de Gràcia",34941,"7.1"
2020,4,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22614,"7.0"
2020,4,7,"Horta-Guinardó",33,"el Baix Guinardó",16570,"7.4"
2020,4,7,"Horta-Guinardó",34,"Can Baró",6031,"7.8"
2020,4,7,"Horta-Guinardó",35,"el Guinardó",24108,"7.6"
2020,4,7,"Horta-Guinardó",36,"la Font d'en Fargues",5794,"9.9"
2020,4,7,"Horta-Guinardó",37,"el Carmel",20567,"9.5"
2020,4,7,"Horta-Guinardó",38,"la Teixonera",7751,"7.8"
2020,4,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4555,"8.1"
2020,4,7,"Horta-Guinardó",40,"Montbau",3125,"8.5"
2020,4,7,"Horta-Guinardó",41,"la Vall d'Hebron",3500,"8.1"
2020,4,7,"Horta-Guinardó",42,"la Clota",479,"4.2"
2020,4,7,"Horta-Guinardó",43,"Horta",17002,"9.5"
2020,4,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16192,"9.3"
2020,4,8,"Nou Barris",45,"Porta",16782,"8.9"
2020,4,8,"Nou Barris",46,"el Turó de la Peira",10172,"9.2"
2020,4,8,"Nou Barris",47,"Can Peguera",1406,"9.2"
2020,4,8,"Nou Barris",48,"la Guineueta",8971,"11.6"
2020,4,8,"Nou Barris",49,"Canyelles",4135,"12.3"
2020,4,8,"Nou Barris",50,"les Roquetes",10739,"10.3"
2020,4,8,"Nou Barris",51,"Verdun",8117,"10.4"
2020,4,8,"Nou Barris",52,"la Prosperitat",16606,"10.1"
2020,4,8,"Nou Barris",53,"la Trinitat Nova",5082,"14.4"
2020,4,8,"Nou Barris",54,"Torre Baró",1996,"10.1"
2020,4,8,"Nou Barris",55,"Ciutat Meridiana",7070,"14.9"
2020,4,8,"Nou Barris",56,"Vallbona",893,"13.7"
2020,4,9,"Sant Andreu",57,"la Trinitat Vella",6917,"14.1"
2020,4,9,"Sant Andreu",58,"Baró de Viver",1732,"8.0"
2020,4,9,"Sant Andreu",59,"el Bon Pastor",8481,"9.3"
2020,4,9,"Sant Andreu",60,"Sant Andreu",36844,"8.7"
2020,4,9,"Sant Andreu",61,"la Sagrera",18519,"8.1"
2020,4,9,"Sant Andreu",62,"el Congrés i els Indians",9449,"7.8"
2020,4,9,"Sant Andreu",63,"Navas",14220,"7.9"
2020,4,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25518,"8.6"
2020,4,10,"Sant Martí",65,"el Clot",18066,"8.1"
2020,4,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10558,"6.7"
2020,4,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6474,"7.5"
2020,4,10,"Sant Martí",68,"el Poblenou",22944,"7.2"
2020,4,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8858,"8.6"
2020,4,10,"Sant Martí",70,"el Besòs i el Maresme",16577,"10.5"
2020,4,10,"Sant Martí",71,"Provençals del Poblenou",14217,"8.0"
2020,4,10,"Sant Martí",72,"Sant Martí de Provençals",16219,"9.7"
2020,4,10,"Sant Martí",73,"la Verneda i la Pau",17577,"10.1"
2020,5,1,"Ciutat Vella",1,"el Raval",36405,"11.7"
