,nbh,bars,children_places,cinemas_theatres,schools,pre-schools,hospitals,libraries_theatres,park_gardens,sport_centers,population,net_density(hab/ha),avg_occupation,dist,num_immi,mort_rate,rent_price,num_crimes,children_places_pop,cinemas_theatres_pop,schools_pop,pre-schools_pop,hospitals_pop,libraries_theatres_pop,park_gardens_pop,sport_centers_pop,facilities_pop
14,el Guinardó,1.0,32.0,,13.0,12.0,2.0,6.0,10.0,1.0,36467.0,699.0,2.4,Horta-Guinardó,1837.0,"733,8",3.164,7.871  ,0.877505690075959,,0.35648668659335836,0.32906463377848466,0.05484410562974744,0.16453231688924233,0.2742205281487372,0.02742205281487372,
15,el Parc i la Llacuna del Poblenou,10.0,77.0,3.0,3.0,9.0,,4.0,3.0,,15134.0,758.0,2.5,Sant Martí,959.0,"868,2",4.076,22.417  ,5.087881591119334,0.19822915290075327,0.19822915290075327,0.5946874587022598,,0.26430553720100436,0.19822915290075327,,
16,el Poble-sec,12.0,22.0,13.0,13.0,13.0,1.0,11.0,24.0,5.0,,,,,,,,,,,,,,,,,
17,el Poblenou,2.0,18.0,4.0,15.0,16.0,1.0,2.0,7.0,3.0,33843.0,795.0,2.5,Sant Martí,1765.0,"864,1",4.324,22.417  ,0.5318677422214343,0.11819283160476317,0.4432231185178619,0.4727713264190527,0.029548207901190792,0.059096415802381584,0.20683745530833555,0.08864462370357237,0.18467629938244248
18,el Putxet i el Farró,1.0,12.0,2.0,8.0,7.0,2.0,1.0,7.0,1.0,29470.0,555.0,2.4,Sarrià-Sant Gervasi,1515.0,"721,4",4.289,9.252  ,0.4071937563624024,0.0678656260604004,0.2714625042416016,0.2375296912114014,0.0678656260604004,0.0339328130302002,0.2375296912114014,0.0339328130302002,0.13997285374957583
19,el Raval,40.0,16.0,19.0,11.0,19.0,3.0,20.0,8.0,2.0,47608.0,959.0,2.8,Ciutat Vella,5400.0,"1.005,4",4.029,44.241  ,0.33607797008906065,0.39909258948075954,0.23105360443622922,0.39909258948075954,0.06301461939169888,0.42009746261132586,0.16803898504453033,0.04200974626113258,0.20742312216434214
20,l'Antiga Esquerra de l'Eixample,45.0,18.0,5.0,14.0,24.0,4.0,12.0,10.0,,42284.0,631.0,2.3,Eixample,3467.0,"802,8",5.091,46.210  ,0.42569293349730397,0.11824803708258443,0.33109450383123645,0.5675905779964052,0.09459842966606755,0.2837952889982026,0.23649607416516885,,
21,la Barceloneta,13.0,8.0,1.0,5.0,17.0,3.0,6.0,2.0,3.0,14996.0,1107.0,2.2,Ciutat Vella,1759.0,"1.090,5",5.165,44.241  ,0.5334755934915977,0.06668444918644971,0.3334222459322486,1.1336356361696451,0.20005334755934917,0.40010669511869834,0.13336889837289942,0.20005334755934917,0.233395572152574
22,la Dreta de Eixample,43.0,18.0,12.0,25.0,35.0,3.0,28.0,13.0,,,,,,,,,,,,,,,,,,
23,la Maternitat i Sant Ramon,4.0,14.0,5.0,7.0,58.0,3.0,14.0,11.0,1.0,23948.0,734.0,2.5,Les Corts,1335.0,"649,9",4.339,7.444  ,0.5845999665942877,0.20878570235510271,0.29229998329714385,2.421914147319191,0.12527142141306163,0.5845999665942877,0.459328545181226,0.04175714047102055,0.2870803407382663
24,la Nova Esquerra de l'Eixample,12.0,30.0,2.0,17.0,25.0,3.0,9.0,11.0,2.0,58180.0,891.0,2.4,Eixample,4062.0,"736,1",4.465,46.210  ,0.5156411137848057,0.034376074252320386,0.2921966311447233,0.4297009281540048,0.051564111378480576,0.15469233413544173,0.18906840838776212,0.034376074252320386,0.1589893434169818
25,la Sagrada Família,5.0,24.0,2.0,13.0,9.0,2.0,2.0,9.0,1.0,51539.0,1006.0,2.4,Eixample,3591.0,"785,9",4.209,46.210  ,0.4656667766157667,0.03880556471798056,0.2522361706668736,0.17462504123091252,0.03880556471798056,0.03880556471798056,0.17462504123091252,0.01940278235899028,0.1285434331283106
26,la Sagrera,1.0,12.0,1.0,10.0,11.0,2.0,2.0,2.0,1.0,29084.0,736.0,2.5,Sant Andreu,1354.0,"742,4",3.296,10.657  ,0.4125979920231055,0.03438316600192545,0.3438316600192546,0.37821482602118006,0.0687663320038509,0.0687663320038509,0.0687663320038509,0.03438316600192545,0.12893687250722047
27,la Vila Olímpica del Poblenou,5.0,8.0,3.0,6.0,14.0,1.0,3.0,6.0,2.0,9367.0,387.0,2.7,Sant Martí,410.0,"641,5",5.402,22.417  ,0.8540621330201772,0.3202732998825665,0.640546599765133,1.4946087327853101,0.10675776662752215,0.3202732998825665,0.640546599765133,0.2135155332550443,0.3869969040247678
28,la Vila de Gràcia,30.0,20.0,18.0,22.0,16.0,2.0,5.0,2.0,5.0,50662.0,607.0,2.2,Gràcia,3587.0,"814,0",4.426,7.731  ,0.3947732027949943,0.3552958825154949,0.43425052307449374,0.3158185622359954,0.03947732027949943,0.09869330069874857,0.03947732027949943,0.09869330069874857,0.18258260629268483
