,Nom_Barri,Preu
323,el Camp d'en Grassot i Gràcia Nova,12.92
324,el Baix Guinardó,12.66
325,Can Baró,11.85
326,el Guinardó,12.28
327,la Font d'en Fargues,14.94
328,el Carmel,11.46
329,la Teixonera,10.71
330,Sant Genís dels Agudells,8.96
331,Montbau,12.97
332,la Vall d'Hebron,11.69
333,la Clota,
334,Horta,11.24
335,Vilapicina i la Torre Llobeta,11.22
336,Porta,10.21
337,el Turó de la Peira,10.32
338,Can Peguera,
339,la Guineueta,9.13
340,Canyelles,8.05
341,les Roquetes,9.41
342,Verdun,11.3
343,la Prosperitat,11.61
344,la Trinitat Nova,10.02
345,Torre Baró,7.26
346,Ciutat Meridiana,7.93
347,Vallbona,
348,la Trinitat Vella,9.4
349,Baró de Viver,
350,el Bon Pastor,9.21
351,Sant Andreu,12.43
352,la Sagrera,9.8
353,el Congrés i els Indians,11.23
354,Navas,10.4
355,el Camp de l'Arpa del Clot,12.89
356,el Clot,12.26
357,el Parc i la Llacuna del Poblenou,13.06
358,la Vila Olímpica del Poblenou,16.26
359,el Poblenou,13.35
360,Diagonal Mar i el Front Marítim del Poblenou,15.79
361,el Besòs i el Maresme,9.52
362,Provençals del Poblenou,13.25
363,Sant Martí de Provençals,10.54
364,la Verneda i la Pau,10.03
365,el Raval,13.69
366,el Barri Gòtic,13.78
367,la Barceloneta,19.87
368,"Sant Pere, Santa Caterina i la Ribera",15.99
369,el Fort Pienc,12.59
370,la Sagrada Família,13.34
371,la Dreta de l'Eixample,13.83
372,l'Antiga Esquerra de l'Eixample,13.51
373,la Nova Esquerra de l'Eixample,13.34
374,Sant Antoni,12.79
375,el Poble Sec,13.95
376,la Marina del Prat Vermell,
377,la Marina de Port,9.86
378,la Font de la Guatlla,12.39
379,Hostafrancs,12.33
380,la Bordeta,11.89
381,Sants - Badal,12.97
382,Sants,12.85
383,les Corts,14.23
384,la Maternitat i Sant Ramon,13.17
385,Pedralbes,16.76
386,"Vallvidrera, el Tibidabo i les Planes",17.35
387,Sarrià,17.93
388,les Tres Torres,16.76
389,Sant Gervasi - la Bonanova,14.71
390,Sant Gervasi - Galvany,14.76
391,el Putxet i el Farró,13.99
392,Vallcarca i els Penitents,14.39
393,el Coll,11.81
394,la Salut,12.24
395,la Vila de Gràcia,14.85
396,el Camp d'en Grassot i Gràcia Nova,13.83
397,el Baix Guinardó,12.17
398,Can Baró,12.6
399,el Guinardó,11.81
400,la Font d'en Fargues,12.28
401,el Carmel,10.53
402,la Teixonera,11.61
403,Sant Genís dels Agudells,9.48
404,Montbau,10.84
405,la Vall d'Hebron,11.54
406,la Clota,
407,Horta,11.65
408,Vilapicina i la Torre Llobeta,11.0
409,Porta,10.75
410,el Turó de la Peira,10.42
411,Can Peguera,11.68
412,la Guineueta,8.88
413,Canyelles,8.68
414,les Roquetes,10.11
415,Verdun,10.49
416,la Prosperitat,10.82
417,la Trinitat Nova,10.69
418,Torre Baró,
419,Ciutat Meridiana,7.54
420,Vallbona,4.45
421,la Trinitat Vella,7.44
422,Baró de Viver,
423,el Bon Pastor,10.15
424,Sant Andreu,11.93
425,la Sagrera,10.53
426,el Congrés i els Indians,11.14
427,Navas,12.08
428,el Camp de l'Arpa del Clot,12.79
429,el Clot,12.28
