nationality,dist,num_immi
Ecuador,No consta,0
Ecuador,Nou Barris,200
Ecuador,Sant Andreu,134
Ecuador,Sant Martí,160
Ecuador,Sants-Montjuïc,212
Ecuador,Sarrià-Sant Gervasi,46
Egypt,Ciutat Vella,21
Egypt,Eixample,49
Egypt,Gràcia,16
Egypt,Horta-Guinardó,6
Egypt,Les Corts,10
Egypt,No consta,0
Egypt,Nou Barris,9
Egypt,Sant Andreu,2
Egypt,Sant Martí,27
Egypt,Sants-Montjuïc,11
Egypt,Sarrià-Sant Gervasi,11
El Salvador,Ciutat Vella,37
El Salvador,Eixample,57
El Salvador,Gràcia,16
El Salvador,Horta-Guinardó,68
El Salvador,Les Corts,17
El Salvador,No consta,0
El Salvador,Nou Barris,69
El Salvador,Sant Andreu,53
El Salvador,Sant Martí,32
El Salvador,Sants-Montjuïc,73
El Salvador,Sarrià-Sant Gervasi,30
Equatorial Guinea,Ciutat Vella,6
Equatorial Guinea,Eixample,7
Equatorial Guinea,Gràcia,3
Equatorial Guinea,Horta-Guinardó,8
Equatorial Guinea,Les Corts,3
Equatorial Guinea,No consta,0
Equatorial Guinea,Nou Barris,28
Equatorial Guinea,Sant Andreu,8
Equatorial Guinea,Sant Martí,10
Equatorial Guinea,Sants-Montjuïc,11
Equatorial Guinea,Sarrià-Sant Gervasi,1
Eritrea,Ciutat Vella,1
Eritrea,Eixample,0
Eritrea,Gràcia,0
Eritrea,Horta-Guinardó,0
Eritrea,Les Corts,0
Eritrea,No consta,0
Eritrea,Nou Barris,0
Eritrea,Sant Andreu,0
Eritrea,Sant Martí,0
Eritrea,Sants-Montjuïc,1
Eritrea,Sarrià-Sant Gervasi,2
Estonia,Ciutat Vella,5
Estonia,Eixample,7
Estonia,Gràcia,2
Estonia,Horta-Guinardó,5
Estonia,Les Corts,2
Estonia,No consta,0
Estonia,Nou Barris,1
Estonia,Sant Andreu,1
Estonia,Sant Martí,11
Estonia,Sants-Montjuïc,2
Estonia,Sarrià-Sant Gervasi,1
Ethiopia,Ciutat Vella,0
Ethiopia,Eixample,1
Ethiopia,Gràcia,0
Ethiopia,Horta-Guinardó,0
Ethiopia,Les Corts,1
Ethiopia,No consta,0
Ethiopia,Nou Barris,1
Ethiopia,Sant Andreu,1
Ethiopia,Sant Martí,1
Ethiopia,Sants-Montjuïc,0
Ethiopia,Sarrià-Sant Gervasi,0
Finland,Ciutat Vella,26
Finland,Eixample,33
Finland,Gràcia,9
Finland,Horta-Guinardó,9
Finland,Les Corts,5
Finland,No consta,0
Finland,Nou Barris,0
Finland,Sant Andreu,1
Finland,Sant Martí,21
Finland,Sants-Montjuïc,7
Finland,Sarrià-Sant Gervasi,12
France,Ciutat Vella,596
France,Eixample,665
France,Gràcia,277
France,Horta-Guinardó,99
France,Les Corts,106
France,No consta,0
France,Nou Barris,51
France,Sant Andreu,61
France,Sant Martí,258
France,Sants-Montjuïc,242
France,Sarrià-Sant Gervasi,315
Gabon,Ciutat Vella,0
Gabon,Eixample,0
Gabon,Gràcia,0
Gabon,Horta-Guinardó,1
Gabon,Les Corts,0
Gabon,No consta,0
Gabon,Nou Barris,0
Gabon,Sant Andreu,0
Gabon,Sant Martí,1
Gabon,Sants-Montjuïc,0
Gabon,Sarrià-Sant Gervasi,0
Gambia,Ciutat Vella,13
Gambia,Eixample,2
Gambia,Gràcia,3
Gambia,Horta-Guinardó,3
Gambia,Les Corts,0
Gambia,No consta,0
Gambia,Nou Barris,3
Gambia,Sant Andreu,6
Gambia,Sant Martí,8
Gambia,Sants-Montjuïc,4
Gambia,Sarrià-Sant Gervasi,1
Georgia,Ciutat Vella,52
Georgia,Eixample,72
Georgia,Gràcia,26
Georgia,Horta-Guinardó,86
Georgia,Les Corts,14
Georgia,No consta,0
Georgia,Nou Barris,155
Georgia,Sant Andreu,79
Georgia,Sant Martí,85
Georgia,Sants-Montjuïc,56
Georgia,Sarrià-Sant Gervasi,16
Germany,Ciutat Vella,293
Germany,Eixample,291
Germany,Gràcia,141
Germany,Horta-Guinardó,59
Germany,Les Corts,37
Germany,No consta,0
Germany,Nou Barris,15
Germany,Sant Andreu,40
Germany,Sant Martí,145
Germany,Sants-Montjuïc,109
Germany,Sarrià-Sant Gervasi,110
Ghana,Ciutat Vella,9
Ghana,Eixample,2
Ghana,Gràcia,0
Ghana,Horta-Guinardó,11
Ghana,Les Corts,1
Ghana,No consta,0
Ghana,Nou Barris,25
Ghana,Sant Andreu,10
Ghana,Sant Martí,0
Ghana,Sants-Montjuïc,4
Ghana,Sarrià-Sant Gervasi,2
Greece,Ciutat Vella,38
Greece,Eixample,46
Greece,Gràcia,29
Greece,Horta-Guinardó,6
Greece,Les Corts,5
Greece,No consta,0
Greece,Nou Barris,4
Greece,Sant Andreu,5
Greece,Sant Martí,24
Greece,Sants-Montjuïc,23
Greece,Sarrià-Sant Gervasi,12
Grenada,Ciutat Vella,0
Grenada,Eixample,0
Grenada,Gràcia,0
Grenada,Horta-Guinardó,0
Grenada,Les Corts,0
Grenada,No consta,0
Grenada,Nou Barris,0
Grenada,Sant Andreu,0
Grenada,Sant Martí,1
Grenada,Sants-Montjuïc,0
Grenada,Sarrià-Sant Gervasi,0
Guatemala,Ciutat Vella,13
Guatemala,Eixample,42
Guatemala,Gràcia,18
Guatemala,Horta-Guinardó,13
Guatemala,Les Corts,6
Guatemala,No consta,0
Guatemala,Nou Barris,3
Guatemala,Sant Andreu,8
Guatemala,Sant Martí,7
Guatemala,Sants-Montjuïc,16
Guatemala,Sarrià-Sant Gervasi,9
Guinea,Ciutat Vella,10
Guinea,Eixample,2
Guinea,Gràcia,2
Guinea,Horta-Guinardó,3
Guinea,Les Corts,0
Guinea,No consta,0
Guinea,Nou Barris,1
Guinea,Sant Andreu,5
