"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"92086012473","Àrea de Joc Infantil a la Plaça Mossén Joan Cortina","#","C","Santander","103","107","32","el Camp d'en Grassot i Gràcia Nova","09","Sant Andreu","08030","019","BARCELONA","41.434029","2.206781","433728.323","4587243.751","433820.284","4587444.735","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012473","Àrea de Joc Infantil a la Plaça Mossén Joan Cortina","#","C","Santander","103","107","32","el Camp d'en Grassot i Gràcia Nova","09","Sant Andreu","08030","019","BARCELONA","41.434029","2.206781","433728.323","4587243.751","433820.284","4587444.735","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012475","Àrea de Joc Infantil a la Plaça de la Creu Roja","#","Pl","Creu Roja","0","0","71","Provençals del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.407298","2.193811","432617.075","4584286.194","432709.027","4584487.15","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012475","Àrea de Joc Infantil a la Plaça de la Creu Roja","#","Pl","Creu Roja","0","0","71","Provençals del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.407298","2.193811","432617.075","4584286.194","432709.027","4584487.15","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012476","Àrea de Joc Infantil a Andrade - Agricultura - Treball","#","C","Andrade","164","164","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.416137","2.202189","433326.364","4585261.032","433418.322","4585461.997","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012476","Àrea de Joc Infantil a Andrade - Agricultura - Treball","#","C","Andrade","164","164","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.416137","2.202189","433326.364","4585261.032","433418.322","4585461.997","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012477","Àrea de Joc Infantil a Alcalà de Guadaira","#","C","Alcalá de Guadaira","10","10","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.417369","2.197028","432896.349","4585401.717","432988.303","4585602.683","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
"92086012477","Àrea de Joc Infantil a Alcalà de Guadaira","#","C","Alcalá de Guadaira","10","10","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.417369","2.197028","432896.349","4585401.717","432988.303","4585602.683","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012479","Àrea de Joc Infantil a la Plaça Perú","#","C","Perú","241","241","71","Provençals del Poblenou","10","Sant Martí","08020","019","BARCELONA","41.413819","2.202942","433386.961","4585003.089","433478.92","4585204.052","","","","","","","","","","Àrees de jocs infantils","Espais infantils","Cultura i lleure",
"92086012479","Àrea de Joc Infantil a la Plaça Perú","#","C","Perú","241","241","71","Provençals del Poblenou","10","Sant Martí","08020","019","BARCELONA","41.413819","2.202942","433386.961","4585003.089","433478.92","4585204.052","","","","","","","","","","A l'aire lliure","Espais de joc per a infants","Cultura i lleure",
